dispute_number,state_a,state_b,current_year,state_a_code,state_b_code,dyad_pair_code,in_trade_dispute,complainant_a,complainant_b,complainant_c,complainant_d,complainant_e,complainant_f,complainant_g,complainant_h,complainant_i,respondent_a,respondent_b,respondent_c,respondent_d,respondent_e,year_initiated,panel_requested,year_concluded,no_years,mtn2023_category,thirdparty_a,thirdparty_b,thirdparty_c,thirdparty_d,thirdparty_e,thirdparty_f,thirdparty_g,thirdparty_h,thirdparty_i,thirdparty_j,thirdparty_k,thirdparty_l,thirdparty_m,thirdparty_n,thirdparty_o,thirdparty_p,thirdparty_q,thirdparty_r,thirdparty_s,thirdparty_t,thirdparty_u,thirdparty_v,thirdparty_w,thirdparty_x,thirdparty_y,thirdparty_z,thirdparty_aa,thirdparty_ab,thirdparty_ac,thirdparty_ad,thirdparty_ae,thirdparty_af,thirdparty_ag,thirdparty_ah,thirdparty_ai
7,CAN,EU,1995,CAN1995,EU19951995,CAN1995EU19951995,1,CAN,,,,,,,,,EU,,,,,1995,Yes,1996,2,K (Fish and Fish Products),AUL,CHL,ICE,JPN,PER,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,CAN,EU,1996,CAN1996,EU19951996,CAN1996EU19951996,1,CAN,,,,,,,,,EU,,,,,1995,Yes,1996,2,K (Fish and Fish Products),AUL,CHL,ICE,JPN,PER,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,EU,JPN,1995,EU19951995,JPN1995,EU19951995JPN1995,1,EU,,,,,,,,,JPN,,,,,1995,Yes,1998,4,H (Beverages and Tobacco),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,EU,JPN,1996,EU19951996,JPN1996,EU19951996JPN1996,1,EU,,,,,,,,,JPN,,,,,1995,Yes,1998,4,H (Beverages and Tobacco),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,EU,JPN,1997,EU19951997,JPN1997,EU19951997JPN1997,1,EU,,,,,,,,,JPN,,,,,1995,Yes,1998,4,H (Beverages and Tobacco),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,EU,JPN,1998,EU19951998,JPN1998,EU19951998JPN1998,1,EU,,,,,,,,,JPN,,,,,1995,Yes,1998,4,H (Beverages and Tobacco),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,CAN,EU,1995,CAN1995,EU19951995,CAN1995EU19951995,1,CAN,,,,,,,,,EU,,,,,1995,Yes,1995,1,E (Cereals and Food Preparations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,CAN,JPN,1995,CAN1995,JPN1995,CAN1995JPN1995,1,CAN,,,,,,,,,JPN,,,,,1995,Yes,1998,4,H (Beverages and Tobacco),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,CAN,JPN,1996,CAN1996,JPN1996,CAN1996JPN1996,1,CAN,,,,,,,,,JPN,,,,,1995,Yes,1998,4,H (Beverages and Tobacco),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,CAN,JPN,1997,CAN1997,JPN1997,CAN1997JPN1997,1,CAN,,,,,,,,,JPN,,,,,1995,Yes,1998,4,H (Beverages and Tobacco),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,CAN,JPN,1998,CAN1998,JPN1998,CAN1998JPN1998,1,CAN,,,,,,,,,JPN,,,,,1995,Yes,1998,4,H (Beverages and Tobacco),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,USA,JPN,1995,USA1995,JPN1995,JPN1995USA1995,1,USA,,,,,,,,,JPN,,,,,1995,Yes,1998,4,H (Beverages and Tobacco),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,USA,JPN,1996,USA1996,JPN1996,JPN1996USA1996,1,USA,,,,,,,,,JPN,,,,,1995,Yes,1998,4,H (Beverages and Tobacco),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,USA,JPN,1997,USA1997,JPN1997,JPN1997USA1997,1,USA,,,,,,,,,JPN,,,,,1995,Yes,1998,4,H (Beverages and Tobacco),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,USA,JPN,1998,USA1998,JPN1998,JPN1998USA1998,1,USA,,,,,,,,,JPN,,,,,1995,Yes,1998,4,H (Beverages and Tobacco),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PER,EU,1995,PER1995,EU19951995,EU19951995PER1995,1,PER,,,,,,,,,EU,,,,,1995,Yes,1998,4,K (Fish and Fish Products),AUL,CAN,ICE,JPN,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PER,EU,1996,PER1996,EU19951996,EU19951996PER1996,1,PER,,,,,,,,,EU,,,,,1995,Yes,1998,4,K (Fish and Fish Products),AUL,CAN,ICE,JPN,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PER,EU,1997,PER1997,EU19951997,EU19951997PER1997,1,PER,,,,,,,,,EU,,,,,1995,Yes,1998,4,K (Fish and Fish Products),AUL,CAN,ICE,JPN,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PER,EU,1998,PER1998,EU19951998,EU19951998PER1998,1,PER,,,,,,,,,EU,,,,,1995,Yes,1998,4,K (Fish and Fish Products),AUL,CAN,ICE,JPN,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,USA,EU,1995,USA1995,EU19951995,EU19951995USA1995,1,USA,,,,,,,,,EU,,,,,1995,Yes,1997,3,E (Cereals and Food Preparations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,USA,EU,1996,USA1996,EU19951996,EU19951996USA1996,1,USA,,,,,,,,,EU,,,,,1995,Yes,1997,3,E (Cereals and Food Preparations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,USA,EU,1997,USA1997,EU19951997,EU19951997USA1997,1,USA,,,,,,,,,EU,,,,,1995,Yes,1997,3,E (Cereals and Food Preparations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,CHL,EU,1995,CHL1995,EU19951995,CHL1995EU19951995,1,CHL,,,,,,,,,EU,,,,,1995,Yes,1996,2,K (Fish and Fish Products),AUL,CAN,ICE,JPN,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,CHL,EU,1996,CHL1996,EU19951996,CHL1996EU19951996,1,CHL,,,,,,,,,EU,,,,,1995,Yes,1996,2,K (Fish and Fish Products),AUL,CAN,ICE,JPN,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,EU,JPN,1995,EU19951995,JPN1995,EU19951995JPN1995,1,EU,,,,,,,,,JPN,,,,,1995,No,1995,1,T (Electrical Machinery and Electronic Equipment),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,GUA,EU,1995,GUA1995,EU19951995,EU19951995GUA1995,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,HON,EU,1995,HON1995,EU19951995,EU19951995HON1995,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,MEX,EU,1995,MEX1995,EU19951995,EU19951995MEX1995,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,USA,EU,1995,USA1995,EU19951995,EU19951995USA1995,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,GUA,EU,1996,GUA1996,EU19951996,EU19951996GUA1996,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,HON,EU,1996,HON1996,EU19951996,EU19951996HON1996,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,MEX,EU,1996,MEX1996,EU19951996,EU19951996MEX1996,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,USA,EU,1996,USA1996,EU19951996,EU19951996USA1996,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,GUA,EU,1997,GUA1997,EU19951997,EU19951997GUA1997,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,HON,EU,1997,HON1997,EU19951997,EU19951997HON1997,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,MEX,EU,1997,MEX1997,EU19951997,EU19951997MEX1997,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,USA,EU,1997,USA1997,EU19951997,EU19951997USA1997,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,GUA,EU,1998,GUA1998,EU19951998,EU19951998GUA1998,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,HON,EU,1998,HON1998,EU19951998,EU19951998HON1998,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,MEX,EU,1998,MEX1998,EU19951998,EU19951998MEX1998,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,USA,EU,1998,USA1998,EU19951998,EU19951998USA1998,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,GUA,EU,1999,GUA1999,EU19951999,EU19951999GUA1999,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,HON,EU,1999,HON1999,EU19951999,EU19951999HON1999,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,MEX,EU,1999,MEX1999,EU19951999,EU19951999MEX1999,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,USA,EU,1999,USA1999,EU19951999,EU19951999USA1999,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,GUA,EU,2000,GUA2000,EU19952000,EU19952000GUA2000,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,HON,EU,2000,HON2000,EU19952000,EU19952000HON2000,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,MEX,EU,2000,MEX2000,EU19952000,EU19952000MEX2000,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,USA,EU,2000,USA2000,EU19952000,EU19952000USA2000,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,GUA,EU,2001,GUA2001,EU19952001,EU19952001GUA2001,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,HON,EU,2001,HON2001,EU19952001,EU19952001HON2001,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,MEX,EU,2001,MEX2001,EU19952001,EU19952001MEX2001,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,USA,EU,2001,USA2001,EU19952001,EU19952001USA2001,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,GUA,EU,2002,GUA2002,EU19952002,EU19952002GUA2002,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,HON,EU,2002,HON2002,EU19952002,EU19952002HON2002,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,MEX,EU,2002,MEX2002,EU19952002,EU19952002MEX2002,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,USA,EU,2002,USA2002,EU19952002,EU19952002USA2002,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,GUA,EU,2003,GUA2003,EU19952003,EU19952003GUA2003,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,HON,EU,2003,HON2003,EU19952003,EU19952003HON2003,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,MEX,EU,2003,MEX2003,EU19952003,EU19952003MEX2003,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,USA,EU,2003,USA2003,EU19952003,EU19952003USA2003,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,GUA,EU,2004,GUA2004,EU20042004,EU20042004GUA2004,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,HON,EU,2004,HON2004,EU20042004,EU20042004HON2004,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,MEX,EU,2004,MEX2004,EU20042004,EU20042004MEX2004,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,USA,EU,2004,USA2004,EU20042004,EU20042004USA2004,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,GUA,EU,2005,GUA2005,EU20042005,EU20042005GUA2005,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,HON,EU,2005,HON2005,EU20042005,EU20042005HON2005,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,MEX,EU,2005,MEX2005,EU20042005,EU20042005MEX2005,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,USA,EU,2005,USA2005,EU20042005,EU20042005USA2005,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,GUA,EU,2006,GUA2006,EU20042006,EU20042006GUA2006,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,HON,EU,2006,HON2006,EU20042006,EU20042006HON2006,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,MEX,EU,2006,MEX2006,EU20042006,EU20042006MEX2006,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,USA,EU,2006,USA2006,EU20042006,EU20042006USA2006,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,GUA,EU,2007,GUA2007,EU20072007,EU20072007GUA2007,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,HON,EU,2007,HON2007,EU20072007,EU20072007HON2007,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,MEX,EU,2007,MEX2007,EU20072007,EU20072007MEX2007,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,USA,EU,2007,USA2007,EU20072007,EU20072007USA2007,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,GUA,EU,2008,GUA2008,EU20072008,EU20072008GUA2008,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,HON,EU,2008,HON2008,EU20072008,EU20072008HON2008,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,MEX,EU,2008,MEX2008,EU20072008,EU20072008MEX2008,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,USA,EU,2008,USA2008,EU20072008,EU20072008USA2008,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,GUA,EU,2009,GUA2009,EU20072009,EU20072009GUA2009,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,HON,EU,2009,HON2009,EU20072009,EU20072009HON2009,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,MEX,EU,2009,MEX2009,EU20072009,EU20072009MEX2009,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,USA,EU,2009,USA2009,EU20072009,EU20072009USA2009,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,GUA,EU,2010,GUA2010,EU20072010,EU20072010GUA2010,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,HON,EU,2010,HON2010,EU20072010,EU20072010HON2010,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,MEX,EU,2010,MEX2010,EU20072010,EU20072010MEX2010,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,USA,EU,2010,USA2010,EU20072010,EU20072010USA2010,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,GUA,EU,2011,GUA2011,EU20072011,EU20072011GUA2011,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,HON,EU,2011,HON2011,EU20072011,EU20072011HON2011,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,MEX,EU,2011,MEX2011,EU20072011,EU20072011MEX2011,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,USA,EU,2011,USA2011,EU20072011,EU20072011USA2011,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,GUA,EU,2012,GUA2012,EU20072012,EU20072012GUA2012,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,HON,EU,2012,HON2012,EU20072012,EU20072012HON2012,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,MEX,EU,2012,MEX2012,EU20072012,EU20072012MEX2012,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,USA,EU,2012,USA2012,EU20072012,EU20072012USA2012,1,GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,18,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,THI,EU,1995,THI1995,EU19951995,EU19951995THI1995,1,THI,,,,,,,,,EU,,,,,1995,No,1995,1,E (Cereals and Food Preparations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,CAN,AUL,1995,CAN1995,AUL1995,AUL1995CAN1995,1,CAN,,,,,,,,,AUL,,,,,1995,Yes,2000,6,K (Fish and Fish Products),EU,IND,NOR,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,CAN,AUL,1996,CAN1996,AUL1996,AUL1996CAN1996,1,CAN,,,,,,,,,AUL,,,,,1995,Yes,2000,6,K (Fish and Fish Products),EU,IND,NOR,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
