dispute_number,title_of_dispute,complainant_a,complainant_b,complainant_c,complainant_d,complainant_e,complainant_f,complainant_g,complainant_h,complainant_i,respondent_a,respondent_b,respondent_c,respondent_d,respondent_e,year_initiated,panel_requested,year_concluded,status,mtn2023_category,thirdparty_a,thirdparty_b,thirdparty_c,thirdparty_d,thirdparty_e,thirdparty_f,thirdparty_g,thirdparty_h,thirdparty_i,thirdparty_j,thirdparty_k,thirdparty_l,thirdparty_m,thirdparty_n,thirdparty_o,thirdparty_p,thirdparty_q,thirdparty_r,thirdparty_s,thirdparty_t,thirdparty_u,thirdparty_v,thirdparty_w,thirdparty_x,thirdparty_y,thirdparty_z,thirdparty_aa,thirdparty_ab,thirdparty_ac,thirdparty_ad,thirdparty_ae,thirdparty_af,thirdparty_ag,thirdparty_ah,thirdparty_ai,no_third_parties
13,EU1995 - Duties on Imports of Grains,USA,,,,,,,,,EU,,,,,1995,Yes,1997,"Settled or terminated (withdrawn, mutually agreed solution)",E (Cereals and Food Preparations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
14,EU1995 - Trade Description of Scallops,CHL,,,,,,,,,EU,,,,,1995,Yes,1996,"Settled or terminated (withdrawn, mutually agreed solution)",K (Fish and Fish Products),AUL,CAN,ICE,JPN,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
15,JPN - Measures Affecting the Purchase of Telecommunications Equipment,EU,,,,,,,,,JPN,,,,,1995,No,1995,In consultations,T (Electrical Machinery and Electronic Equipment),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
16,"EU1995 - Regime for the Importation, Sale and Distribution of Bananas",GUA,HON,MEX,USA,,,,,,EU,,,,,1995,No,2012,"Settled or terminated (withdrawn, mutually agreed solution)",C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
17,EU1995 - Duties on Imports of Rice,THI,,,,,,,,,EU,,,,,1995,No,1995,In consultations,E (Cereals and Food Preparations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
18,AUL - Measures Affecting Importation of Salmon,CAN,,,,,,,,,AUL,,,,,1995,Yes,2000,Mutually acceptable solution on implementation notified,K (Fish and Fish Products),EU,IND,NOR,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
19,POL - Import Regime for Automobiles,IND,,,,,,,,,POL,,,,,1995,No,1996,"Settled or terminated (withdrawn, mutually agreed solution)",U (Transport Equipment),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
20,Korea - Measures Concerning Bottled Water,CAN,,,,,,,,,ROK,,,,,1995,No,1996,"Settled or terminated (withdrawn, mutually agreed solution)",H (Beverages and Tobacco),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
21,AUL - Measures Affecting the Importation of Salmonids,USA,,,,,,,,,AUL,,,,,1995,Yes,2000,"Settled or terminated (withdrawn, mutually agreed solution)",K (Fish and Fish Products),CAN,EU,HGK,CHN,ICE,IND,NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
22,BRA - Measures Affecting Desiccated Coconut,PHI,,,,,,,,,BRA,,,,,1995,Yes,1997,"Report(s) adopted, no further action required",C (Fruits and Vegetables),CAN,EU,INS,SRI,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
23,VEN - Anti-Dumping Investigation in Respect of Imports of Certain Oil Country Tubular Goods (OCTG),MEX,,,,,,,,,VEN,,,,,1995,No,1997,"Settled or terminated (withdrawn, mutually agreed solution)","S (Mechanical, Office and Computing Machinery)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
24,USA - Restrictions on Imports of Cotton and Man-Made Fibre Underwear,COS,,,,,,,,,USA,,,,,1995,Yes,1997,Implementation notified by respondent,"I (Cotton, Silk and Wool)",IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
25,EU1995 - Implementation of the URU Round Commitments Concerning Rice,URU,,,,,,,,,EU,,,,,1995,No,1995,In consultations,E (Cereals and Food Preparations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
26,EU1995 - Measures Concerning Meat and Meat Products (Hormones),USA,,,,,,,,,EU,,,,,1996,Yes,2009,Mutually acceptable solution on implementation notified,A (Live Animals and Meat),AUL,CAN,NEW,NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
27,"EU1995 - Regime for the Importation, Sale and Distribution of Bananas",ECU,GUA,HON,MEX,USA,,,,,EU,,,,,1996,Yes,2012,"Settled or terminated (withdrawn, mutually agreed solution)",C (Fruits and Vegetables),BLZ,CAO,CAN,COL,COS,DMA,DOM,GHA,GRN,IND,JAM,JPN,MAS,NIC,PAN,PHI,SLU,SVG,SEN,SUR,VEN,CDI,BRA,MAG,,,,,,,,,,,,24
28,JPN - Measures Concerning Sound Recordings,USA,,,,,,,,,JPN,,,,,1996,No,1997,"Settled or terminated (withdrawn, mutually agreed solution)",V (Other Manufactures),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
29,TUR - Restrictions on Imports of Textile and Clothing Products,HGK,,,,,,,,,TUR,,,,,1996,No,1996,In consultations,Q (Clothing),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
30,BRA - Countervailing Duties on Imports of Desiccated Coconut and Coconut Milk Powder from SRI,SRI,,,,,,,,,BRA,,,,,1996,No,1996,In consultations,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
31,CAN - Certain Measures Concerning Periodicals,USA,,,,,,,,,CAN,,,,,1996,Yes,1998,Implementation notified by respondent,T (Electrical Machinery and Electronic Equipment),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
32,USA - Measures Affecting Imports of Women's and Girls' Wool Coats,IND,,,,,,,,,USA,,,,,1996,Yes,1996,"Settled or terminated (withdrawn, mutually agreed solution)",Q (Clothing),CAN,COS,EU,NOR,PAK,TUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
33,USA - Measures Affecting Imports of Woven Wool Shirts and Blouses from IND,IND,,,,,,,,,USA,,,,,1996,Yes,1997,Mutually acceptable solution on implementation notified,Q (Clothing),CAN,EU,NOR,PAK,TUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
34,TUR - Restrictions on Imports of Textile and Clothing Products,IND,,,,,,,,,TUR,,,,,1996,Yes,2001,Mutually acceptable solution on implementation notified,Q (Clothing),HGK,CHN,JPN,PHI,THI,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
35,HUN - Export Subsidies in Respect of Agricultural Products,ARG,AUL,CAN,NEW,THI,USA,,,,HUN,,,,,1996,Yes,1997,"Settled or terminated (withdrawn, mutually agreed solution)",E (Cereals and Food Preparations),ARG,AUL,CAN,NEW,THI,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
36,PAK - Patent Protection for Pharmaceutical and Agricultural Chemical Products,USA,,,,,,,,,PAK,,,,,1996,Yes,1997,"Settled or terminated (withdrawn, mutually agreed solution)",N (Chemicals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
37,POR - Patent Protection under the Industrial Property Act,USA,,,,,,,,,POR,,,,,1996,No,1996,"Settled or terminated (withdrawn, mutually agreed solution)",W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
38,USA - The CUBn Liberty and Democratic Solidarity Act,EU,,,,,,,,,USA,,,,,1996,Yes,1998,Authority for panel lapsed,W (Not Industry-Specific),CAN,JPN,MAL,MEX,THI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
39,USA - Tariff Increases on Products from the EU1995,EU,,,,,,,,,USA,,,,,1996,Yes,1996,"Settled or terminated (withdrawn, mutually agreed solution)",J (Other Agricultural Products),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
40,"Korea - Laws, Regulations and Practices in the Telecommunications Procurement Sector",EU,,,,,,,,,ROK,,,,,1996,No,1997,"Settled or terminated (withdrawn, mutually agreed solution)",T (Electrical Machinery and Electronic Equipment),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
41,Korea - Measures concerning Inspection of Agricultural Products,USA,,,,,,,,,ROK,,,,,1996,No,1996,In consultations,J (Other Agricultural Products),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
42,JPN - Measures Concerning Sound Recordings,EU,,,,,,,,,JPN,,,,,1996,No,1997,"Settled or terminated (withdrawn, mutually agreed solution)",T (Electrical Machinery and Electronic Equipment),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
43,TUR - Taxation of Foreign Film Revenues,USA,,,,,,,,,TUR,,,,,1996,Yes,1997,"Settled or terminated (withdrawn, mutually agreed solution)",V (Other Manufactures),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
44,JPN - Measures Affecting Consumer Photographic Film and Paper,USA,,,,,,,,,JPN,,,,,1996,Yes,1998,"Report(s) adopted, no further action required",T (Electrical Machinery and Electronic Equipment),EU,MEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
45,JPN - Measures Affecting Distribution Services,USA,,,,,,,,,JPN,,,,,1996,No,1996,In consultations,T (Electrical Machinery and Electronic Equipment),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
46,BRA - Export Financing Programme for Aircraft,CAN,,,,,,,,,BRA,,,,,1996,Yes,2001,Compliance proceedings completed without finding of non-compliance,U (Transport Equipment),AUL,EU,ROK,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
47,TUR - Restrictions on Imports of Textile and Clothing Products,THI,,,,,,,,,TUR,,,,,1996,No,1996,In consultations,Q (Clothing),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
48,EU1995 - Measures Concerning Meat and Meat Products (Hormones),CAN,,,,,,,,,EU,,,,,1996,Yes,2011,Mutually acceptable solution on implementation notified,A (Live Animals and Meat),AUL,NEW,NOR,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
49,USA - Anti-Dumping Investigation Regarding Imports of Fresh or Chilled Tomatoes from MEX,MEX,,,,,,,,,USA,,,,,1996,No,1996,In consultations,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
50,IND - Patent Protection for Pharmaceutical and Agricultural Chemical Products,USA,,,,,,,,,IND,,,,,1996,Yes,1999,Implementation notified by respondent,N (Chemicals),EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
51,BRA - Certain Automotive Investment Measures,JPN,,,,,,,,,BRA,,,,,1996,No,1996,In consultations,U (Transport Equipment),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
52,BRA - Certain Automotive Investment Measures Affecting Trade and Investment in the Automotive Sector,USA,,,,,,,,,BRA,,,,,1996,No,1996,In consultations,U (Transport Equipment),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
53,MEX - Customs Valuation of Imports,EU,,,,,,,,,MEX,,,,,1996,No,1996,In consultations,W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
54,INS - Certain Measures Affecting the Automobile Industry,EU,,,,,,,,,INS,,,,,1996,Yes,1999,Implementation notified by respondent,U (Transport Equipment),IND,ROK,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
55,INS - Certain Measures Affecting the Automobile Industry,JPN,,,,,,,,,INS,,,,,1996,Yes,1999,Implementation notified by respondent,U (Transport Equipment),IND,ROK,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
56,"ARG - Measures Affecting Imports of Footwear, Textiles, Apparel and other Items",USA,,,,,,,,,ARG,,,,,1996,Yes,1999,Implementation notified by respondent,Q (Clothing),EU,HUN,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
57,"AUL - Textile, Clothing and Footwear Import Credit Scheme",USA,,,,,,,,,AUL,,,,,1996,No,1996,In consultations,Q (Clothing),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
58,USA - Import Prohibition of Certain Shrimp and Shrimp Products,IND,MAL,PAK,THI,,,,,,USA,,,,,1996,Yes,2001,Compliance proceedings completed without finding of non-compliance,K (Fish and Fish Products),AUL,CAN,COL,COS,EU,ECU,SAL,GUA,HGK,CHN,JPN,MEX,NIG,PHI,SEN,SIN,SRI,VEN,PAK,THI,,,,,,,,,,,,,,,,20
59,INS - Certain Measures Affecting the Automobile Industry,USA,,,,,,,,,INS,,,,,1996,Yes,1999,Implementation notified by respondent,U (Transport Equipment),IND,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
60,GUA - Anti-Dumping Investigation Regarding Portland Cement from MEX,MEX,,,,,,,,,GUA,,,,,1996,Yes,1998,"Report(s) adopted, no further action required",L (Minerals and Metals),CAN,SAL,HON,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
61,USA - Import Prohibition of Certain Shrimp and Shrimp Products,PHI,,,,,,,,,USA,,,,,1996,No,1996,In consultations,K (Fish and Fish Products),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
62,EU1995 - Customs Classification of Certain Computer Equipment,USA,,,,,,,,,EU,,,,,1996,Yes,1998,"Report(s) adopted, no further action required","S (Mechanical, Office and Computing Machinery)",IND,JPN,ROK,SIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
63,USA - Anti-Dumping Measures on Imports of Solid Urea from the Former German Democratic Republic,EU,,,,,,,,,USA,,,,,1996,No,1996,In consultations,N (Chemicals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
64,INS - Certain Measures Affecting the Automobile Industry,JPN,,,,,,,,,INS,,,,,1996,Yes,1999,Implementation notified by respondent,U (Transport Equipment),IND,ROK,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
65,BRA - Certain Measures Affecting Trade and Investment in the Automotive Sector,USA,,,,,,,,,BRA,,,,,1997,No,1997,In consultations,U (Transport Equipment),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
66,JPN - Measures Affecting Imports of Pork,EU,,,,,,,,,JPN,,,,,1997,No,1997,In consultations,A (Live Animals and Meat),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
67,UKG - Customs Classification of Certain Computer Equipment,USA,,,,,,,,,UK,,,,,1997,Yes,1998,"Report(s) adopted, no further action required","S (Mechanical, Office and Computing Machinery)",IND,JPN,ROK,SIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
68,IRE - Customs Classification of Certain Computer Equipment,USA,,,,,,,,,IRE,,,,,1997,Yes,1998,"Report(s) adopted, no further action required","S (Mechanical, Office and Computing Machinery)",IND,JPN,ROK,SIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
69,EU1995 - Measures Affecting Importation of Certain Poultry Products,BRA,,,,,,,,,EU,,,,,1997,Yes,1998,"Report(s) adopted, with recommendations to bring measures into conformity",A (Live Animals and Meat),THI,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
70,CAN - Measures Affecting the Export of Civilian Aircraft,BRA,,,,,,,,,CAN,,,,,1997,Yes,2000,Compliance proceedings completed with finding(s) of non-compliance,U (Transport Equipment),AUL,EU,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
71,CAN - Measures Affecting the Export of Civilian Aircraft,BRA,,,,,,,,,CAN,,,,,1997,No,1997,In consultations,U (Transport Equipment),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
72,EU1995 - Measures Affecting Butter Products,NEW,,,,,,,,,EU,,,,,1997,Yes,1999,"Settled or terminated (withdrawn, mutually agreed solution)",B (Dairy Products),USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
73,JPN - Procurement of a Navigation Satellite,EU,,,,,,,,,JPN,,,,,1997,No,1997,"Settled or terminated (withdrawn, mutually agreed solution)",T (Electrical Machinery and Electronic Equipment),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
74,PHI - Measures Affecting Pork and Poultry,USA,,,,,,,,,PHI,,,,,1997,No,1998,"Settled or terminated (withdrawn, mutually agreed solution)",A (Live Animals and Meat),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
75,Korea - Taxes on Alcoholic Beverages,EU,,,,,,,,,ROK,,,,,1997,Yes,2000,Implementation notified by respondent,H (Beverages and Tobacco),CAN,MEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
76,JPN - Measures Affecting Agricultural Products,USA,,,,,,,,,JPN,,,,,1997,Yes,2001,Mutually acceptable solution on implementation notified,C (Fruits and Vegetables),BRA,EU,HUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
77,"ARG - Measures Affecting Textiles, Clothing and Footwear",EU,,,,,,,,,ARG,,,,,1997,Yes,1999,Authority for panel lapsed,Q (Clothing),USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
78,USA - Safeguard Measure Against Imports of Broom Corn Brooms,COL,,,,,,,,,USA,,,,,1997,No,1997,In consultations,"O (Wood, Paper, Furniture)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
79,IND - Patent Protection for Pharmaceutical and Agricultural Chemical Products,EU,,,,,,,,,IND,,,,,1997,Yes,1999,Implementation notified by respondent,N (Chemicals),USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
80,BEL - Measures Affecting Commercial Telephone Directory Services,USA,,,,,,,,,BEL,,,,,1997,No,1997,In consultations,"S (Mechanical, Office and Computing Machinery)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
81,BRA - Measures Affecting Trade and Investment in the Automotive Sector,EU,,,,,,,,,BRA,,,,,1997,No,1997,In consultations,U (Transport Equipment),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
82,IRE - Measures Affecting the Grant of Copyright and Neighbouring Rights,USA,,,,,,,,,IRE,,,,,1997,Yes,2000,"Settled or terminated (withdrawn, mutually agreed solution)",W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
83,DEN - Measures Affecting the Enforcement of Intellectual Property Rights,USA,,,,,,,,,DEN,,,,,1997,No,2001,"Settled or terminated (withdrawn, mutually agreed solution)",W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
84,Korea - Taxes on Alcoholic Beverages,USA,,,,,,,,,ROK,,,,,1997,Yes,2000,Implementation notified by respondent,H (Beverages and Tobacco),CAN,MEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
85,USA - Measures Affecting Textiles and Apparel Products,EU,,,,,,,,,USA,,,,,1997,No,1998,"Settled or terminated (withdrawn, mutually agreed solution)",Q (Clothing),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
86,SWD - Measures Affecting the Enforcement of Intellectual Property Rights,USA,,,,,,,,,SWD,,,,,1997,No,1998,"Settled or terminated (withdrawn, mutually agreed solution)",W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
87,CHL - Taxes on Alcoholic Beverages,EU,,,,,,,,,CHL,,,,,1997,Yes,2001,Implementation notified by respondent,H (Beverages and Tobacco),CAN,MEX,PER,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
88,USA - Measures Affecting Government Procurement,EU,,,,,,,,,USA,,,,,1997,Yes,2000,Authority for panel lapsed,W (Not Industry-Specific),JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
89,USA - Anti-Dumping Duties on Imports of Colour Television Receivers from Korea,ROK,,,,,,,,,USA,,,,,1997,Yes,1998,"Settled or terminated (withdrawn, mutually agreed solution)",T (Electrical Machinery and Electronic Equipment),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
90,"IND - Quantitative Restrictions on Imports of Agricultural, Textile and Industrial Products",USA,,,,,,,,,IND,,,,,1997,Yes,2001,Implementation notified by respondent,J (Other Agricultural Products),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
91,"IND - Quantitative Restrictions on Imports of Agricultural, Textile and Industrial Products",AUL,,,,,,,,,IND,,,,,1997,No,1998,"Settled or terminated (withdrawn, mutually agreed solution)",J (Other Agricultural Products),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
92,"IND - Quantitative Restrictions on Imports of Agricultural, Textile and Industrial Products",CAN,,,,,,,,,IND,,,,,1997,No,1998,"Settled or terminated (withdrawn, mutually agreed solution)",J (Other Agricultural Products),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
93,"IND - Quantitative Restrictions on Imports of Agricultural, Textile and Industrial Products",NEW,,,,,,,,,IND,,,,,1997,No,1998,"Settled or terminated (withdrawn, mutually agreed solution)",J (Other Agricultural Products),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
94,"IND - Quantitative Restrictions on Imports of Agricultural, Textile and Industrial Products",SWZ,,,,,,,,,IND,,,,,1997,No,1998,"Settled or terminated (withdrawn, mutually agreed solution)",J (Other Agricultural Products),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
95,USA - Measure Affecting Government Procurement,JPN,,,,,,,,,USA,,,,,1997,Yes,2000,Authority for panel lapsed,W (Not Industry-Specific),JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
96,"IND - Quantitative Restrictions on Imports of Agricultural, Textile and Industrial Products",EU,,,,,,,,,IND,,,,,1997,No,1998,"Settled or terminated (withdrawn, mutually agreed solution)",J (Other Agricultural Products),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
97,USA - Countervailing Duty Investigation of Imports of Salmon from CHL,CHL,,,,,,,,,USA,,,,,1997,No,1997,In consultations,K (Fish and Fish Products),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
98,Korea - Definitive Safeguard Measure on Imports of Certain Dairy Products,EU,,,,,,,,,USA,,,,,1997,Yes,2000,Implementation notified by respondent,B (Dairy Products),USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
99,USA - Anti-Dumping Duty on Dynamic Random Access Memory Semiconductors (DRAMS) of One Megabit or Above from Korea,ROK,,,,,,,,,USA,,,,,1997,Yes,2000,Mutually acceptable solution on implementation notified,T (Electrical Machinery and Electronic Equipment),EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
100,USA - Measures Affecting Imports of Poultry Products,EU,,,,,,,,,USA,,,,,1997,No,1997,In consultations,A (Live Animals and Meat),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
101,MEX - Anti-Dumping Investigation of High-Fructose Corn Syrup (HFCS) from the USA,USA,,,,,,,,,MEX,,,,,1997,No,1997,In consultations,G (Sugars and Confectionary),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
102,PHI - Measures Affecting Pork and Poultry,USA,,,,,,,,,PHI,,,,,1997,No,1998,"Settled or terminated (withdrawn, mutually agreed solution)",A (Live Animals and Meat),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
103,CAN - Measures Affecting the Importation of Milk and the Exportation of Dairy Products,USA,,,,,,,,,CAN,,,,,1997,No,2003,Mutually acceptable solution on implementation notified,B (Dairy Products),ARG,AUL,EU,JPN,MEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
104,EU1995 - Measures Affecting the Exportation of Processed Cheese,USA,,,,,,,,,EU,,,,,1997,No,1997,In consultations,B (Dairy Products),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
